train\1\Im_B0\1.jpg ['0.2091203220', '12.6991097200', '0.0220812510', '4.4780905300', '0.0014995780', '-2.4168324420', '48.6404901700', '-3.3573481390'] 0.01121538108888889
train\16\Im_B15\72.jpg ['0.0435511830', '11.2868392900', '0.0245589990', '4.7256726010', '0.0355265210', '-2.3498321810', '9.1323939170', '-2.2757841780'] -0.003128099488888889
train\16\Im_B15\73.jpg ['-0.0098437210', '11.2802916800', '0.0223118690', '4.7647175650', '0.0381363820', '-2.3379451940', '8.5702830380', '-2.2441219980'] -0.003128099488888889
train\16\Im_B15\74.jpg ['-0.0353093460', '11.2737460800', '0.0204108280', '4.8014733940', '0.0408470150', '-2.3251656800', '8.0086618310', '-2.2091924210'] -0.003128099488888889
train\16\Im_B15\75.jpg ['-0.0436885540', '11.2672024500', '0.0189472900', '4.8353973380', '0.0435096780', '-2.3109722140', '7.4475750990', '-2.1703594290'] -0.003128099488888889
train\16\Im_B15\76.jpg ['-0.0438631520', '11.2606607900', '0.0180398990', '4.8658798080', '0.0459598470', '-2.2948585430', '6.8870624990', '-2.1269169690'] -0.003128099488888889
train\16\Im_B15\77.jpg ['-0.0415367350', '11.2541210900', '0.0178359300', '4.8922343570', '0.0480397350', '-2.2764392150', '6.3271664410', '-2.0780150420'] -0.003128099488888889
train\16\Im_B15\78.jpg ['-0.0395073220', '11.2475833500', '0.0185127680', '4.9136959930', '0.0372523200', '-2.2022112360', '5.7679386560', '-2.0225842120'] -0.003128099488888889
train\16\Im_B15\79.jpg ['-0.0385763320', '11.2410475700', '0.0202710660', '4.9294734360', '0.0366265760', '-2.1700310790', '5.2094457750', '-1.9592478130'] -0.003128099488888889
train\16\Im_B15\80.jpg ['-0.0385224210', '11.2345137400', '0.0233125690', '4.9388819740', '0.0361748150', '-2.1385331620', '4.6517751030', '-1.8862044680'] -0.003128099488888889
train\16\Im_B15\81.jpg ['-0.0388332690', '11.2279818700', '0.0277927120', '4.9416097880', '0.0359185070', '-2.1077431210', '4.0950422790', '-1.8010557080'] -0.002975509266666667
train\16\Im_B15\82.jpg ['-0.0391063290', '11.2214519600', '0.0337134180', '4.9382671540', '0.0358839570', '-2.0776957850', '3.6949181890', '-1.7752581070'] 0.0040436408
train\16\Im_B15\83.jpg ['-0.0390808360', '11.2149240100', '0.0407862110', '4.9309745440', '0.0360992340', '-2.0484227660', '3.3794240050', '-1.7888238290'] 0.01777676051111111
train\16\Im_B15\84.jpg ['-0.0344002570', '11.2083979900', '0.0483050340', '4.9237716830', '0.0365900760', '-2.0199579440', '3.0586378930', '-1.8020250980'] 0.02967879758888889
train\16\Im_B15\85.jpg ['-0.0070446300', '11.2018739600', '0.0551419580', '4.9222384170', '0.0373702140', '-1.9923697930', '2.7327301000', '-1.8146822990'] 0.044480048833333334
train\16\Im_B15\86.jpg ['0.0603297460', '11.1953521600', '0.0496635580', '4.9926945270', '0.0384420430', '-1.9657503210', '2.4018990130', '-1.8266638720'] 0.05638208591111111
train\16\Im_B15\87.jpg ['0.1671032260', '11.1888328700', '0.0495848430', '5.0306393100', '0.0398108050', '-1.9401744910', '2.0663533880', '-1.8379093790'] 0.08659494926666667
train\16\Im_B15\88.jpg ['0.3066325590', '11.1823162200', '0.0504885160', '5.0622150600', '0.0414873640', '-1.9156931900', '1.7262918040', '-1.8483988490'] 0.11589227133333334
train\16\Im_B15\89.jpg ['0.4740361120', '11.1758029500', '0.0525026310', '5.0868939060', '0.0434822500', '-1.8923222000', '1.3819026700', '-1.8579841030'] 0.11741817344444444
train\16\Im_B15\90.jpg ['0.6933813190', '11.1692943800', '0.0555817370', '5.1050103340', '0.0457778230', '-1.8701042510', '1.0333857820', '-1.8665476430'] 0.11741817344444444
train\17\Im_B16\1.jpg ['0.0486887130', '10.0034493500', '0.0016270300', '3.3589243770', '-0.0169932620', '-3.5407720010', '49.5294382000', '-1.3623089090'] -0.006027313644444444
train\17\Im_B16\2.jpg ['0.0031414810', '9.9970083960', '0.0020474860', '3.3542323240', '-0.0175600980', '-3.5401924150', '49.0297455200', '-1.3632376290'] -0.006027313644444444
train\17\Im_B16\3.jpg ['-0.0356400890', '9.9905694560', '0.0023490580', '3.3502963980', '-0.0180717710', '-3.5397681210', '48.5303447200', '-1.3653043380'] -0.006027313644444444
train\17\Im_B16\4.jpg ['-0.0615644110', '9.9841324960', '0.0025077240', '3.3471653560', '-0.0185319110', '-3.5395623670', '48.0312508100', '-1.3679138470'] -0.006027313644444444
train\17\Im_B16\5.jpg ['-0.0746616470', '9.9776975110', '0.0027554600', '3.3423420810', '-0.0187607030', '-3.5417499930', '47.5324749200', '-1.3706385840'] -0.005111772333333334
train\17\Im_B16\6.jpg ['-0.0782901660', '9.9712645070', '0.0026463060', '3.3406606000', '-0.0191386510', '-3.5419478650', '47.0340237200', '-1.3732289770'] -0.004196231022222222
train\17\Im_B16\7.jpg ['-0.0762459800', '9.9648334800', '0.0023676890', '3.3397652580', '-0.0194732840', '-3.5424934700', '46.5359017200', '-1.3755198350'] -0.0040436408
train\17\Im_B16\8.jpg ['-0.0703597990', '9.9584044270', '0.0019266910', '3.3395924750', '-0.0197640010', '-3.5434194570', '46.0381112400', '-1.3774298640'] -0.0040436408
train\17\Im_B16\9.jpg ['-0.0625100450', '9.9519773490', '0.0013344700', '3.3400680170', '-0.0200093970', '-3.5447509400', '45.5406514700', '-1.3789925940'] -0.0040436408
train\17\Im_B16\10.jpg ['-0.0553395980', '9.9455522530', '0.0006059770', '3.3411150420', '-0.0202064950', '-3.5465029120', '45.0435197900', '-1.3803035160'] -0.0040436408
train\17\Im_B16\11.jpg ['-0.0503318360', '9.9391291380', '-0.0002417750', '3.3426557570', '-0.0203516820', '-3.5486828230', '44.5467134300', '-1.3814602880'] -0.0040436408
train\17\Im_B16\12.jpg ['-0.0475996480', '9.9327080010', '-0.0011914060', '3.3446125050', '-0.0204418150', '-3.5512926710', '44.0502303400', '-1.3825334900'] -0.011520561533333333
train\17\Im_B16\13.jpg ['-0.0465500300', '9.9262888410', '-0.0022261180', '3.3469088420', '-0.0204747530', '-3.5543302660', '43.5540645700', '-1.3837256820'] -0.03608758678888889
train\17\Im_B16\14.jpg ['-0.0504390630', '9.9198716900', '-0.0044853270', '3.3547548410', '-0.0212652090', '-3.5515866270', '43.0581830400', '-1.3861594020'] -0.0635538262
train\17\Im_B16\15.jpg ['-0.0820882280', '9.9134568000', '-0.0040050010', '3.3501911010', '-0.0215465230', '-3.5523852710', '42.5625051000', '-1.3925000380'] -0.07850766765555556
train\17\Im_B16\16.jpg ['-0.1808880490', '9.9070450740', '-0.0033112930', '3.3452261480', '-0.0217640280', '-3.5527494220', '42.0669370900', '-1.4056594940'] -0.08598458838888888
train\17\Im_B16\17.jpg ['-0.3554628740', '9.9006374010', '-0.0023957960', '3.3403007930', '-0.0218435600', '-3.5525983110', '41.5714271000', '-1.4269199090'] -0.10109102006666668
train\17\Im_B16\18.jpg ['-0.5670901720', '9.8942330900', '-0.0012828630', '3.3357800690', '-0.0217443280', '-3.5519197850', '41.0759703000', '-1.4558671280'] -0.12153810944444444
train\17\Im_B16\19.jpg ['-0.7733057700', '9.8878314080', '-0.0000283000', '3.3319557880', '-0.0214623490', '-3.5507451470', '40.5805679800', '-1.4918368700'] -0.13618677044444444
train\17\Im_B16\20.jpg ['-0.9670328610', '9.8814331170', '0.0013149260', '3.3291000240', '-0.0209994870', '-3.5490808090', '40.0852078800', '-1.5345261070'] -0.14869916833333333
train\17\Im_B16\21.jpg ['-1.1570133650', '9.8750386850', '0.0027123200', '3.3274530030', '-0.0203497430', '-3.5469110080', '39.5898789000', '-1.5835263760'] -0.16060120544444445
train\17\Im_B16\22.jpg ['-1.3403059320', '9.8686475770', '0.0041380920', '3.3271802020', '-0.0195097530', '-3.5442376010', '39.0945751400', '-1.6382496820'] -0.17082475011111112
train\17\Im_B16\23.jpg ['-1.5120301360', '9.8622591510', '0.0055724650', '3.3283820290', '-0.0184806940', '-3.5410737830', '38.5992933200', '-1.6980471680'] -0.1784542611111111
train\17\Im_B16\24.jpg ['-1.6702560080', '9.8558728220', '0.0070025720', '3.3311099780', '-0.0172658730', '-3.5374350390', '38.1040346200', '-1.7622002340'] -0.18287937744444444
train\17\Im_B16\25.jpg ['-1.8126360420', '9.8494878820', '0.0084200460', '3.3353751560', '-0.0158712730', '-3.5333391150', '37.6088094000', '-1.8298478160'] -0.18989852755555556
train\17\Im_B16\26.jpg ['-1.9346230680', '9.8431034720', '0.0098170400', '3.3411543530', '-0.0145796500', '-3.5247867850', '37.1136366800', '-1.9000529540'] -0.19462882433333334
train\17\Im_B16\27.jpg ['-2.0332857030', '9.8367198150', '0.0109176370', '3.3524915610', '-0.0129164420', '-3.5192164130', '36.6185304400', '-1.9721210580'] -0.19752803844444447
train\17\Im_B16\28.jpg ['-2.1146388250', '9.8303373600', '0.0120237040', '3.3627615450', '-0.0111053430', '-3.5132818780', '36.1235033300', '-2.0454838780'] -0.19768062866666666
train\17\Im_B16\29.jpg ['-2.1816726350', '9.8239558770', '0.0131003000', '3.3743863560', '-0.0091544530', '-3.5069815900', '35.6285726100', '-2.1195690910'] -0.19768062866666666
train\17\Im_B16\30.jpg ['-2.2337679580', '9.8175747650', '0.0141490000', '3.3873019840', '-0.0070735830', '-3.5003117320', '35.1337640300', '-2.1937400460'] -0.19768062866666666
train\17\Im_B16\31.jpg ['-2.2684628970', '9.8111938320', '0.0151686860', '3.4014346700', '-0.0048758800', '-3.4932676760', '34.6391053000', '-2.2674292650'] -0.19768062866666666
train\17\Im_B16\32.jpg ['-2.2871463860', '9.8048135090', '0.0161589040', '3.4167110590', '-0.0025744240', '-3.4858344680', '34.1446198200', '-2.3402291980'] -0.19768062866666666
train\17\Im_B16\33.jpg ['-2.2940316530', '9.7984343410', '0.0149065080', '3.4432565080', '-0.0001797190', '-3.4779845500', '33.6503241000', '-2.4119022250'] -0.19768062866666666
train\17\Im_B16\34.jpg ['-2.2938987300', '9.7920567270', '0.0172021430', '3.4543264560', '0.0167538540', '-3.5451781860', '33.1562279000', '-2.4823456050'] -0.19768062866666666
train\17\Im_B16\35.jpg ['-2.2907204550', '9.7856808790', '0.0196367700', '3.4657089250', '0.0191430990', '-3.5339015330', '32.6623360700', '-2.5515409390'] -0.19722285799999997
train\17\Im_B16\36.jpg ['-2.2870911520', '9.7793068830', '0.0221774380', '3.4775942730', '0.0216364510', '-3.5221147050', '32.1686513100', '-2.6195004760'] -0.18638895244444445
train\17\Im_B16\37.jpg ['-2.2840065860', '9.7729346760', '0.0247864200', '3.4901995960', '0.0241957070', '-3.5095994960', '31.6751902300', '-2.6860489150'] -0.16914625777777778
train\17\Im_B16\38.jpg ['-2.2753664190', '9.7665621270', '0.0274173450', '3.5037393580', '0.0267765340', '-3.4961559550', '31.1820262700', '-2.7503066360'] -0.16624704355555556
train\17\Im_B16\39.jpg ['-2.2375476970', '9.7601866130', '0.0300027670', '3.5183697610', '0.0293163040', '-3.4816546880', '30.6892700800', '-2.8110625120'] -0.16548409244444445
train\17\Im_B16\40.jpg ['-2.1579922390', '9.7538110330', '0.0324672710', '3.5342032220', '0.0317466730', '-3.4660172830', '30.1969738600', '-2.8679675470'] -0.16517891199999998
train\17\Im_B16\41.jpg ['-2.0640512890', '9.7474393560', '0.0347663060', '3.5513674750', '0.0340305130', '-3.4491519520', '29.7051238300', '-2.9214633120'] -0.15999084455555554
train\17\Im_B16\42.jpg ['-1.9824447320', '9.7410724360', '0.0368887010', '3.5699607400', '0.0361625040', '-3.4309903700', '29.2136766200', '-2.9722526020'] -0.15526054777777779
train\17\Im_B16\43.jpg ['-1.9232674280', '9.7347087110', '0.0388595600', '3.5899322700', '0.0381548760', '-3.4115113680', '28.7226057400', '-3.0207658330'] -0.14991989011111112
train\17\Im_B16\44.jpg ['-1.8781652370', '9.7283466750', '0.0409846560', '3.6100863610', '0.0400915320', '-3.3910576460', '28.2319074500', '-3.0671509190'] -0.1400015258888889
train\17\Im_B16\45.jpg ['-1.8376338260', '9.7219858970', '0.0418234000', '3.6436205620', '0.0421544110', '-3.3702977970', '27.7416038100', '-3.1112839620'] -0.12489509422222222
train\17\Im_B16\46.jpg ['-1.7916992810', '9.7156257850', '0.0438981940', '3.6669513830', '0.0441840080', '-3.3486326970', '27.2517580500', '-3.1526523050'] -0.11955443655555556
train\17\Im_B16\47.jpg ['-1.7253166090', '9.7092654970', '0.0459952760', '3.6904169950', '0.0463777340', '-3.3226313700', '26.7624586400', '-3.1905592200'] -0.11955443655555556
train\17\Im_B16\48.jpg ['-1.6302802050', '9.7029066570', '0.0480529550', '3.7141405010', '0.0482406680', '-3.2979269390', '26.2737396800', '-3.2248903870'] -0.11329823755555556
train\17\Im_B16\49.jpg ['-1.5275606860', '9.6965517200', '0.0500345270', '3.7382619130', '0.0499860810', '-3.2725167600', '25.7855715700', '-3.2561125300'] -0.10139620049999999
train\17\Im_B16\50.jpg ['-1.4397118400', '9.6902003950', '0.0519309820', '3.7629141360', '0.0516062320', '-3.2463012310', '25.2979310300', '-3.2845761940'] -0.09132524605555556
train\17\Im_B16\51.jpg ['-1.3632325500', '9.6838507530', '0.0537378240', '3.7881686820', '0.0530995260', '-3.2192516030', '24.8108375700', '-3.3102252490'] -0.08751049057777778
train\17\Im_B16\52.jpg ['-1.2824673050', '9.6775021210', '0.0554425380', '3.8140409170', '0.0544587520', '-3.1914032750', '24.3243203000', '-3.3329345610'] -0.08751049057777778
train\17\Im_B16\53.jpg ['-1.1942694960', '9.6711556120', '0.0571639560', '3.8398716180', '0.0556804750', '-3.1628122520', '23.8383709800', '-3.3529052300'] -0.08461127642222223
train\17\Im_B16\54.jpg ['-1.1117675110', '9.6648124230', '0.0592321130', '3.8641335300', '0.0569227050', '-3.1341713000', '23.3529433700', '-3.3706268110'] -0.0765239948111111
train\17\Im_B16\55.jpg ['-1.0476153450', '9.6584724280', '0.0614404790', '3.8879972200', '0.0583300210', '-3.1059726560', '22.8680005200', '-3.3864698450'] -0.0701152056111111
train\17\Im_B16\56.jpg ['-0.9978320420', '9.6521345230', '0.0637891280', '3.9116057920', '0.0597884190', '-3.0776523960', '22.3835464400', '-3.4004583060'] -0.06858930342222222
train\17\Im_B16\57.jpg ['-0.9479850560', '9.6457981900', '0.0662481910', '3.9351699060', '0.0613009920', '-3.0492203060', '21.8995970700', '-3.4125315200'] -0.06752117188888888
train\17\Im_B16\58.jpg ['-0.8942067260', '9.6394639670', '0.0687642480', '3.9590037210', '0.0628657070', '-3.0206684650', '21.4161448100', '-3.4228121730'] -0.0626382848888889
train\17\Im_B16\59.jpg ['-0.8446395700', '9.6331322930', '0.0712705570', '3.9835317400', '0.0644853820', '-2.9919555320', '20.9331699700', '-3.4314987780'] -0.056229495688888895
train\17\Im_B16\60.jpg ['-0.8031587020', '9.6268028480', '0.0736855240', '4.0092433380', '0.0661635580', '-2.9630243610', '20.4506723400', '-3.4386329440'] -0.054398413066666665
train\17\Im_B16\61.jpg ['-0.7628887300', '9.6204751530', '0.0759095470', '4.0366248420', '0.0678947250', '-2.9338200170', '19.9686676000', '-3.4441443510'] -0.054398413066666665
train\17\Im_B16\62.jpg ['-0.7185367720', '9.6141493810', '0.0745254650', '4.0888570410', '0.0696651480', '-2.9042778380', '19.4871528300', '-3.4480971880'] -0.05256733043333333
train\17\Im_B16\63.jpg ['-0.6766354650', '9.6078259170', '0.0738951730', '4.1350535070', '0.0714625000', '-2.8743003150', '19.0061053900', '-3.4506794490'] -0.047074082555555556
train\17\Im_B16\64.jpg ['-0.6437890440', '9.6015047130', '0.0739561580', '4.1774476630', '0.0732887280', '-2.8438098940', '18.5255112500', '-3.4520047740'] -0.04249637597777778
train\17\Im_B16\65.jpg ['-0.6169211370', '9.5951853600', '0.0741793000', '4.2188396470', '0.0750999930', '-2.8126144450', '18.0453843500', '-3.4519993310'] -0.02967879758888889
train\17\Im_B16\66.jpg ['-0.5865709030', '9.5888676770', '0.0746008140', '4.2590015010', '0.0768787890', '-2.7806432020', '17.5657630400', '-3.4504447720'] -0.010757610433333334
train\17\Im_B16\67.jpg ['-0.5446048000', '9.5825513790', '0.0752544960', '4.2976769080', '0.0785846920', '-2.7478054800', '17.0867397100', '-3.4468090790'] 0.019607843133333334
train\17\Im_B16\68.jpg ['-0.4724668520', '9.5762362650', '0.0761614190', '4.3345574290', '0.0801603080', '-2.7140656900', '16.6084698800', '-3.4402245390'] 0.02723735408888889
train\17\Im_B16\69.jpg ['-0.3484416240', '9.5699226990', '0.0773249470', '4.3692943080', '0.0815301300', '-2.6794560800', '16.1311334900', '-3.4297450400'] 0.027847714966666666
train\17\Im_B16\70.jpg ['-0.1637316990', '9.5636123390', '0.0787378340', '4.4015550030', '0.0795122350', '-2.6271710070', '15.6547673200', '-3.4153085840'] 0.027847714966666666
train\17\Im_B16\71.jpg ['0.0327914670', '9.5573054560', '0.0804288890', '4.4311857560', '0.0794446730', '-2.5862759110', '15.1792626600', '-3.3976424980'] 0.027847714966666666
train\17\Im_B16\72.jpg ['0.1923099680', '9.5510009460', '0.0824577800', '4.4582003510', '0.0793273820', '-2.5459017900', '14.7044519700', '-3.3777198390'] 0.027847714966666666
train\17\Im_B16\73.jpg ['0.2946281770', '9.5446981420', '0.0849031990', '4.4826940730', '0.0792188860', '-2.5060441680', '14.2301807500', '-3.3563674080'] 0.028000305177777778
train\17\Im_B16\74.jpg ['0.3432196590', '9.5383969770', '0.0877428290', '4.5051648250', '0.0791923200', '-2.4667464510', '13.7563442000', '-3.3340989350'] 0.028000305177777778
train\17\Im_B16\75.jpg ['0.3539735240', '9.5320975700', '0.0909351230', '4.5262963960', '0.0792553370', '-2.4279113910', '13.2828940200', '-3.3111125530'] 0.028000305177777778
train\17\Im_B16\76.jpg ['0.3454472180', '9.5257999880', '0.0943248200', '4.5472019320', '0.0794534480', '-2.3895828470', '12.8098250100', '-3.2873827000'] 0.03776607918888889
train\17\Im_B16\77.jpg ['0.3320139080', '9.5195045630', '0.0976605110', '4.5693640780', '0.0798010160', '-2.3517507300', '12.3371694700', '-3.2626978310'] 0.04875257495555556
train\17\Im_B16\78.jpg ['0.3267755470', '9.5132168980', '0.1006087860', '4.5944978490', '0.0803009740', '-2.3144106050', '11.8650170400', '-3.2365715520'] 0.04982070648888889
train\17\Im_B16\79.jpg ['0.3509108970', '9.5069467110', '0.0836364690', '4.7384249850', '0.0809358810', '-2.2775853290', '11.3934658400', '-3.2085014130'] 0.05241474021111111
train\17\Im_B16\80.jpg ['0.4077544420', '9.5006913060', '0.0804080690', '4.8035017740', '0.0816832390', '-2.2412868060', '10.9225528000', '-3.1782879270'] 0.07377737086666666
train\17\Im_B16\81.jpg ['0.4747110020', '9.4944349510', '0.0772308410', '4.8671142000', '0.0825380840', '-2.2054780910', '10.4522981300', '-3.1457892530'] 0.15510795755555554
train\17\Im_B16\82.jpg ['0.5459829410', '9.4881699610', '0.0741509540', '4.9289175230', '0.0834977160', '-2.1701239920', '9.9828742680', '-3.1101661250'] 0.20027466244444445
train\17\Im_B16\83.jpg ['0.6810433540', '9.4819056010', '0.0712112760', '4.9881915020', '0.0845041970', '-2.1353146460', '9.5147202310', '-3.0694802390'] 0.202105745
train\17\Im_B16\84.jpg ['0.9867626590', '9.4756516680', '0.0682826230', '5.0441371480', '0.0854043890', '-2.1013384690', '9.0481407010', '-3.0225177240'] 0.20363164722222224
train\17\Im_B16\85.jpg ['1.4158443910', '9.4694054600', '0.0653904030', '5.0958045140', '0.0860814050', '-2.0683226300', '8.5830646970', '-2.9696310010'] 0.24299992366666667
train\17\Im_B16\86.jpg ['1.8275684210', '9.4631558060', '0.0626330950', '5.1427707360', '0.0865208400', '-2.0361137970', '8.1192460080', '-2.9117262800'] 0.28877698944444447
train\17\Im_B16\87.jpg ['2.1553843170', '9.4569055130', '0.0601737240', '5.1846658130', '0.0867518810', '-2.0045142350', '7.6565693610', '-2.8490279130'] 0.30434119177777774
train\17\Im_B16\88.jpg ['2.4518904790', '9.4506664080', '0.0581386640', '5.2209161290', '0.0867429410', '-1.9734541290', '7.1950342820', '-2.7812558100'] 0.30647745477777777
